0,0.526667
1,0.833333
2,0.833333
3,0.88
4,0.873333
5,0.873333
6,0.873333
7,0.866667
8,0.893333
9,0.9
10,0.906667
11,0.88
12,0.893333
13,0.913333
14,0.893333
15,0.886667
16,0.92
17,0.893333
18,0.906667
19,0.906667
20,0.9
21,0.906667
22,0.913333
23,0.913333
24,0.933333
25,0.92
26,0.913333
27,0.906667
28,0.92
29,0.913333
30,0.926667
31,0.913333
32,0.926667
33,0.913333
34,0.9
35,0.92
36,0.906667
37,0.906667
38,0.906667
39,0.92
40,0.913333
41,0.92
42,0.906667
43,0.913333
44,0.906667
45,0.906667
46,0.9
47,0.906667
48,0.906667
49,0.913333
